Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
11000,MA,37.30761058,-74.91304351,sdv-pii-ycgmf,sdv-pii-j4956,sdv-pii-617b3,sdv-pii-dotq9,sdv-pii-p5bz3,1,01/18/2011,,03/29/2004,07/15/2009,2.931266319,21.8959,3.699067542,5.52388227,1,2,11000,1,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,sdv-pii-7tdlb,0,0,0,0,1,0,1.506540983,1,acquired
11001,CA,42.23261813,-75.23992051,sdv-pii-dsvfn,sdv-pii-1gb6s,sdv-pii-3t3s0,,sdv-pii-xt3t1,1,09/21/2003,,06-09-2010,03/22/2009,1.202532051,1.613544474,3.922199187,,9,4,11672952,2,VA,1,0,0,1,0,games_video,0,0,0,0,0,0,0,0,0,0,sdv-pii-lf77e,1,1,0,0,0,0,3.357693276,0,closed
11002,CA,37.61702089,-118.8508236,sdv-pii-vz87a,sdv-pii-ijmnk,sdv-pii-2satx,sdv-pii-b3afy,sdv-pii-bpq3f,1,03/22/2001,09-02-2011,02-08-2011,06/14/2011,1.31602298,1.318821175,,4.248105467,0,2,11000,2,CA,0,0,0,0,0,public_relations,0,1,0,0,0,0,0,0,0,0,sdv-pii-sclj0,0,0,1,1,0,0,1.300230466,1,closed
11003,CA,33.71830888,-120.2156668,sdv-pii-q02g5,sdv-pii-iwfvc,sdv-pii-x2h8v,sdv-pii-6s5j7,sdv-pii-0fsyn,1,05/21/2010,,03/30/2008,10/22/2011,6.093875977,1.564788349,4.031325957,10.68352388,4,1,11000,4,CA,0,0,0,0,0,social,0,0,0,0,0,0,0,0,0,0,sdv-pii-w6zef,0,0,0,0,1,0,1.022451226,1,acquired
11004,PA,38.50213481,-71.81984449,sdv-pii-i4lvj,sdv-pii-0sbzj,sdv-pii-3vbvn,,sdv-pii-e171j,1,01-04-2001,,08/15/2005,03/29/2010,2.226133157,7.751753584,,4.28889866,0,1,11000,3,TN,0,0,0,0,1,games_video,0,0,0,0,1,0,0,0,0,0,sdv-pii-ukght,0,0,0,0,0,0,2.641213426,1,closed
11005,CA,40.68397829,-64.8614599,sdv-pii-bd9mq,sdv-pii-b39fa,sdv-pii-jjksz,sdv-pii-w28um,sdv-pii-0io7l,1,07-02-2005,,05/29/2012,01/16/2007,1.534736151,7.012131054,11.65327519,,25,3,11000,2,CA,1,0,0,0,1,cleantech,0,1,0,0,0,1,0,0,0,0,sdv-pii-uhtoq,1,0,0,0,1,1,1.096539843,1,acquired
11006,CA,43.75630238,-122.2100979,sdv-pii-o14ns,sdv-pii-3c505,sdv-pii-rwykr,,sdv-pii-l1186,1,12-07-2001,,06-12-2007,11-11-2012,-0.80427723,0.717145462,4.570015838,4.150629233,15,3,923653,3,VA,1,1,0,0,0,medical,1,0,1,0,0,0,0,0,0,0,sdv-pii-pl7wu,1,1,1,1,1,0,2.546175656,1,acquired
11007,DC,49.96388637,-73.37382873,sdv-pii-ftmob,sdv-pii-gp2nv,sdv-pii-n4cno,sdv-pii-q37qk,sdv-pii-jhuse,1,11/27/2004,,07-06-2008,06/14/2011,1.816565544,1.763713637,9.096080603,0.135908131,12,5,11000,3,CA,0,0,0,0,1,games_video,0,0,0,0,0,0,0,0,0,0,sdv-pii-nhsrk,0,0,0,1,0,0,2.281303581,1,acquired
11008,CA,37.53070012,-117.4078332,sdv-pii-gbz5a,sdv-pii-ie67t,sdv-pii-26bix,sdv-pii-3ny6l,sdv-pii-20gtp,1,02-02-2011,07-07-2012,04/22/2007,07-01-2013,4.708874609,2.0152265,,0.809954489,9,3,2759403,2,CA,0,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,0,sdv-pii-lp01t,0,0,1,0,0,0,1.283149294,1,acquired
11009,CA,42.25640043,-119.1740354,sdv-pii-ws7mj,sdv-pii-l85ft,sdv-pii-cz1j2,,sdv-pii-q49co,0,06/21/1997,,06/14/2006,08/28/2008,1.702041706,2.691779656,14.94663537,5.425843363,8,1,11000,2,TX,0,0,0,0,1,web,0,0,0,0,0,0,0,0,0,0,sdv-pii-53eeq,0,0,0,1,1,0,3.566747183,1,closed
