,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
0,0,CA,36.54894028492495,-65.48351979620381,sdv-pii-wt4qk,sdv-pii-t7lfs,sdv-pii-5mh2l,,sdv-pii-q12z9,1,07/01/2012,,11/06/2004,08/14/2014,12.418857988263923,12.222808419525208,3.7655632313041782,4.203905947649953,15,1,11000,6,CA,1,0,0,0,0,ecommerce,0,0,0,1,0,0,0,0,0,0,sdv-pii-qxon5,0,0,0,1,1,0,1.0409814118894003,1,acquired
1,1,PA,41.82568214659417,-78.46174316373678,sdv-pii-p8naw,sdv-pii-bbk1u,sdv-pii-ckzkk,sdv-pii-x2atl,sdv-pii-mezu7,0,11/01/2005,07/14/2013,02/10/2006,10/11/2012,3.1627221449236664,12.91614008253286,,,6,2,11000,1,CA,0,0,0,0,0,web,1,0,0,0,0,0,0,0,0,1,sdv-pii-35vnc,0,1,1,0,0,0,1.9955101080815536,1,acquired
2,2,WA,42.42607257321803,-117.02224492905557,sdv-pii-z7zny,sdv-pii-y3g5j,sdv-pii-vtepx,sdv-pii-10dqn,sdv-pii-5r6oq,0,08/21/2003,,04/18/2005,05/06/2014,2.408827450089959,2.6044862292300466,3.138289042641802,1.3040619217662646,3,2,11000,1,CA,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,sdv-pii-d0wc5,1,0,0,1,0,0,5.860179901471146,1,closed
3,3,CA,37.931274297184004,-115.76570246680963,sdv-pii-d3t5d,sdv-pii-y1uxm,sdv-pii-ha54t,sdv-pii-5yqoz,sdv-pii-u2cvq,0,12/20/2007,11/26/2011,11/20/2008,01/18/2011,3.998309709830968,14.757896211296448,2.755186601738216,9.704952195632252,7,3,11000,1,CA,1,0,0,0,1,mobile,0,0,0,0,0,0,0,0,0,0,sdv-pii-oyy0y,1,0,0,1,0,0,1.3611194361999217,1,acquired
4,4,MI,38.38886312558165,-66.52713355430222,sdv-pii-juxlf,sdv-pii-1nv31,sdv-pii-ceqjx,sdv-pii-v5fjk,sdv-pii-g94qs,1,07/18/2006,,07/07/2007,01/01/2011,1.2820899964339314,2.332359773968332,11.103678833913154,17.261718951039494,0,2,11439989,2,WA,1,0,0,0,0,software,0,0,0,0,0,0,0,0,0,0,sdv-pii-3k9y2,0,0,0,1,0,0,5.05937359574822,0,acquired
5,5,CA,41.04047019030587,-77.9180057413106,sdv-pii-y11p6,sdv-pii-nqx35,sdv-pii-lbnrt,sdv-pii-y490n,sdv-pii-vp5ai,1,06/01/2004,09/28/2011,03/08/2006,02/19/2010,0.5638612814613387,5.156126596429061,-0.036011780792626125,5.453962609175527,0,2,23221479,1,NY,1,0,0,0,0,other,0,0,0,1,0,0,0,0,0,0,sdv-pii-psp5o,1,1,0,1,1,1,10.676011657417877,1,closed
6,6,CA,42.30346420036113,-122.3175426269332,sdv-pii-zoywg,sdv-pii-4yixf,sdv-pii-jqse7,,sdv-pii-2qxae,1,11/26/2004,,12/13/2005,12/24/2007,5.8261069337629525,9.812646537154919,1.405041629525145,,6,3,2240504,6,PA,0,0,0,0,0,travel,0,0,1,0,0,0,0,0,0,0,sdv-pii-yuske,1,0,0,0,0,0,2.6678950693854437,1,closed
7,7,NY,51.99173633662623,-119.05057013351708,sdv-pii-r1ecb,sdv-pii-fe1yj,sdv-pii-n7xtl,sdv-pii-qfgb8,sdv-pii-ogtx0,1,11/05/2012,,12/26/2008,01/18/2011,0.4075016118380903,9.427832867028306,1.7685072772115682,12.154964509512176,3,2,11000,4,CA,0,1,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,0,sdv-pii-qfhzz,1,0,0,0,0,0,5.389738161736147,1,closed
8,8,CA,37.552455114909,-66.41407636483493,sdv-pii-i6gls,sdv-pii-2tcif,sdv-pii-9x3r2,sdv-pii-74ztq,sdv-pii-in10a,0,01/01/2007,12/05/2011,02/17/2007,09/10/2009,2.5609786358724818,5.206934675561654,4.495416946717246,5.922026841629503,1,2,11000,2,CA,0,1,0,0,0,enterprise,0,0,0,0,0,0,0,0,0,0,sdv-pii-gybvq,1,0,0,0,0,0,7.383333425548059,1,closed
9,9,CA,34.66553017393811,-66.4603905082927,sdv-pii-f8oww,sdv-pii-c8agu,sdv-pii-dmpg3,,sdv-pii-zxqui,0,08/10/2009,11/25/2011,05/18/2004,02/21/2013,1.8416093297275706,9.816018955610373,6.093147224236141,13.792546340565265,0,2,11000,2,CA,0,0,0,0,0,enterprise,1,0,0,0,0,0,0,0,0,1,sdv-pii-bwaie,1,0,1,1,1,1,5.261820676351718,1,acquired
